"Zeitstempel","دو متن بالا به دو زبان مختلفند.","دو متن بالا به دو گویش مختلفند.","دو متن بالا دو سطح مختلف یک زبانند.","نوع گفتار دو متن بالا فرقی با هم ندارند."," نوع گفتار متن ۱ را چه نام می‌برید؟ شما میتوانید یک تا چند گزینه را انتخاب کنید و یا موارد دیگر را خود اضافه کنید."," نوع گفتار متن ۲ را چه نام می‌برید؟ شما میتوانید یک تا چند گزینه را انتخاب کنید و یا موارد دیگر را خود اضافه کنید.","یادگیری نوع گفتار متن ۱ برای فارسی‌زبانان فقط با آموزش رسمی ممکن است.","یادگیری نوع گفتار متن ۲ برای فارسی‌زبانان فقط با آموزش رسمی ممکن است.","در تسلط و توانایی استفاده از نوع گفتار متن ۱ به خود چه نمره‌ای می‌دهید؟","در تسلط و توانایی استفاده از نوع گفتار متن ۲ به خود چه نمره‌ای می‌دهید؟","آیا تسلط و توانایی استفاده شما از زبان فارسی تا به حال برای رسیدگی به امور زندگیتان کافی بوده است؟","به نظر شما تسلط و توانایی استفاده از نوع گفتار متن ۱ برای یک فارسی‌زبان تا چه حد ضروری است؟","به نظر شما تسلط و توانایی استفاده از نوع گفتار متن ۲ برای یک فارسی‌زبان تا چه حد ضروری است؟","به نظر شما همه فارسی‌زبانان در ایران دسترسی و امکان یکسانی برای یادگیری نوع  گفتار متن ۱ دارند؟","به نظر شما همه فارسی‌زبانان در ایران دسترسی و امکان یکسانی برای یادگیری نوع  گفتار متن ۲ دارند؟","به نظر شما استفاده از انواع گفتار متون بالا به موقعیت و زمینه‌ی استفاده بستگی دارد یا به هویت شخص گوینده (مثلاً شغل، ثروت، جنسیت، سطح تحصیل، جایگاه اجتماعی...)؟","نوع گفتار متن ۱ بیقاعده است.","نوع گفتار متن ۲  بیقاعده است.","استفاده از نوع گفتار متن ۱ پرستیژ و جایگاه بالایی دارد.","استفاده از نوع گفتار متن ۲ پرستیژ و جایگاه بالایی دارد.","نوع گفتار متن ۱ نسبت به گذشته در موقعیت‌های بیشتری استفاده میشود.","نوع گفتار متن ۲ نسبت به گذشته در موقعیت‌های بیشتری استفاده میشود.","در آینده نزدیک نوع گفتار متن ۱ جای نوع گفتار متن ۲ را خواهد گرفت.","در آینده نزدیک نوع گفتار متن ۲ جای نوع گفتار متن ۱ را خواهد گرفت.","نوع گفتار متن ۱ در معرض خطر منقرض یا منسوخ شدن است.","نوع گفتار متن ۲ در معرض خطر منقرض یا منسوخ شدن است.","نوع گفتار متن ۱ باید محافظت شود.","نوع گفتار متن ۲ باید محافظت شود.","این لازم یا مفید است که نوع گفتار متن ۱ جای نوع گفتار متن ۲ را بگیرد.","این لازم یا مفید است که نوع گفتار متن ۲ جای نوع گفتار متن ۱ را بگیرد.","وجود چند نوع گفتار باعث بروز مشکل برای فارسی‌زبانان است.","سن ","جنسیت","آخرین مدرک تحصیلی","     آیا فارسی اولین زبانی است که یاد گرفتید؟","آیا غیر از زبان‌(های) اولتان، زبان(های) دیگری نیز بلدید (مثلاً یادگیری انگلیسی در مدرسه یا خودآموزی فرانسوی)؟"
"2020/05/02 5:53:39 PM OEZ","1","1","5","1","فارسی رسمی;فارسی نوشتاری","فارسی گفتاری;فارسی محاوره‌ای","1","1","10","10","10","5","1","بله","بله","3","1","2","4","2","1","1","1","1","1","1","1","1","1","1","1","۱۸-۲۴","زن","دیپلم","بله، فقط فارسی را یاد گرفتم.","بله"
"2020/05/02 5:57:12 PM OEZ","1","2","4","1","فارسی کتابی;فارسی رسمی;فارسی نوشتاری","فارسی عامیانه;فارسی گفتاری;فارسی محاوره‌ای;کوچه بازاری","3","1","8","9","10","4","4","خیر","بله","1","1","4","4","2","4","3","1","3","1","1","5","5","4","1","1","۱۸-۲۴","مرد","دیپلم","بله، فارسی و یک زبان/گویش دیگر (مانند ترکی یا رشتی) را تقریباً همزمان یاد گرفتم.","بله"
"2020/05/02 6:30:31 PM OEZ","1","4","3","1","فارسی کتابی;فارسی نوشتاری","فارسی عامیانه;فارسی گفتاری;فارسی محاوره‌ای","4","1","7","9","8","4","1","بله","بله","2","1","4","1","1","3","3","1","4","3","3","5","5","1","1","1","۱۸-۲۴","مرد","کارشناسی","بله، فارسی و یک زبان/گویش دیگر (مانند ترکی یا رشتی) را تقریباً همزمان یاد گرفتم.","بله"
"2020/05/02 6:34:24 PM OEZ","1","3","4","1","فارسی کتابی;فارسی رسمی;فارسی ادبی;فارسی نوشتاری","فارسی عامیانه;فارسی گفتاری;فارسی محاوره‌ای","2","1","9","9","7","4","3","خیر","نمیدانم","2","1","5","2","2","4","2","3","3","1","1","4","1","1","1","1","۱۸-۲۴","زن","کارشناسی","بله، فقط فارسی را یاد گرفتم.","بله"
"2020/05/02 6:44:38 PM OEZ","2","2","5","1","فارسی کتابی;فارسی رسمی;فارسی نوشتاری","فارسی عامیانه;فارسی گفتاری;فارسی محاوره‌ای","3","2","7","10","10","5","3","بله","بله","1","1","2","2","1","1","5","1","5","3","1","5","3","1","1","4","۱۸-۲۴","زن","کارشناسی","بله، فقط فارسی را یاد گرفتم.","بله"
"2020/05/02 6:49:37 PM OEZ","1","1","3","1","فارسی رسمی;فارسی نوشتاری","فارسی عامیانه","1","1","10","8","10","4","1","بله","بله","3","1","4","3","1","3","2","3","2","3","2","5","1","4","1","2","۲۵-۳۴","مرد","کارشناسی","بله، فقط فارسی را یاد گرفتم.","بله"
"2020/05/02 6:50:22 PM OEZ","1","1","5","1","فارسی کتابی;فارسی رسمی","فارسی عامیانه;فارسی محاوره‌ای","1","1","8","6","8","3","5","بله","بله","3","1","4","4","1","1","4","2","4","4","1","5","1","5","1","3","۳۵-۴۴","زن","کارشناسی ارشد","بله، فارسی و یک زبان/گویش دیگر (مانند ترکی یا رشتی) را تقریباً همزمان یاد گرفتم.","بله"
"2020/05/02 6:53:30 PM OEZ","1","5","5","1","فارسی رسمی","فارسی عامیانه","1","1","10","10","10","5","5","خیر","بله","5","1","5","5","1","1","5","1","5","1","1","5","5","5","1","5","۴۵-۵۹","زن","دیپلم","بله، فارسی و یک زبان/گویش دیگر (مانند ترکی یا رشتی) را تقریباً همزمان یاد گرفتم.","بله"
"2020/05/02 6:53:41 PM OEZ","1","5","1","1","فارسی کتابی;فارسی رسمی;فارسی ادبی","فارسی عامیانه;فارسی گفتاری;فارسی سنتی","5","1","10","2","9","5","1","بله","نمیدانم","5","1","1","5","2","5","2","4","1","3","2","5","1","5","1","3","۶۰ یا بالاتر","مرد","دیپلم","بله، فارسی و یک زبان/گویش دیگر (مانند ترکی یا رشتی) را تقریباً همزمان یاد گرفتم.","بله"
"2020/05/02 6:54:58 PM OEZ","2","2","3","3","فارسی عامیانه;فارسی محاوره‌ای","فارسی رسمی","3","3","9","6","5","3","3","خیر","خیر","3","3","3","3","4","3","3","3","3","3","4","3","3","4","3","3","۱۸-۲۴","مرد","دیپلم","بله، فقط فارسی را یاد گرفتم.","بله"
